filename,file_type,status,processed_date,text_extracted,images_extracted,markdown_file,notes
Session 1_Handout_TEACHER version.docx,docx,completed,2026-01-25 21:29:50,22784,5,Session 1_Handout_TEACHER version_word.md,
Session 2_Handout_TEACHER Version.docx,docx,completed,2026-01-25 21:29:51,17835,0,Session 2_Handout_TEACHER Version_word.md,
Session 3_Handout_TEACHER version.docx,docx,completed,2026-01-25 21:29:51,17801,3,Session 3_Handout_TEACHER version_word.md,
Session 4_Handout_TEACHER version.docx,docx,completed,2026-01-25 21:29:51,16680,2,Session 4_Handout_TEACHER version_word.md,
Session 7_Handout_TEACHER version.docx,docx,completed,2026-01-25 21:29:51,17933,27,Session 7_Handout_TEACHER version_word.md,
Session 8_Handout_TEACHER version.docx,docx,completed,2026-01-25 21:29:51,24583,4,Session 8_Handout_TEACHER version_word.md,
Session 9_Handout_TEACHER version.docx,docx,completed,2026-01-25 21:29:51,10988,0,Session 9_Handout_TEACHER version_word.md,
Handout_Signalling and Transition Words.pdf,pdf,skipped,,PDF - process after Word docs,,,
Writing a Critical Review.pdf,pdf,skipped,,PDF - process after Word docs,,,
