title,speaker,url
2014 Three Minute Thesis winning presentation by Emily Johnston,Emily Johnston,https://www.youtube.com/watch?v=dh0pJdgY6Lc
"3 Minute Thesis (3MT) at Stanford, 2025 | Favour Nerrise, 1st Place & People's Choice Winner",Favour Nerrise,https://www.youtube.com/watch?v=PczCM3GwB4Q
2014 International Trans Tasman 3 Minute Thesis Competition – Siti Aimi Sarah Zainal Abidin (UPM),Siti Aimi Sarah Zainal Abidin,https://www.youtube.com/watch?v=nqchpRM77No
Laurier 2023 Three Minute Thesis (3MT) Winner Esther Li,Esther Li,https://www.youtube.com/watch?v=g44qNS_nxfU
Three Minute Thesis Winner 2024,Students' Union UCL,https://www.youtube.com/watch?v=XxT9C61E2VE
Three Minute Thesis (3MT) 2011 Winner - Matthew Thompson,Matthew Thompson,https://www.youtube.com/watch?v=pvjPzsLIyGw
Three Minute Thesis 2017 Winner,MiamiOHnews,https://www.youtube.com/watch?v=dexCh39jEg4
Three Minute Thesis (3MT) Winner 2025,Students' Union UCL,https://www.youtube.com/watch?v=drhYTZUhZMQ
UCL '3 Minute Thesis' Winning Presentation – Imogen Swift: 'Blood: A Gateway to Dementia Treatments',Imogen Swift,https://www.youtube.com/watch?v=NJh-5mm-8g0
Three Minute Thesis competition 2018 Winner - Willemijn Doedens,Willemijn Doedens,https://www.youtube.com/watch?v=7YesMSG9izE
3-Minute Thesis Competition (2021) First-Place Winner Matthew Ellis,Matthew Ellis,https://www.youtube.com/watch?v=Q-0os7z7aJ4
Winning Tips for Preparing a Successful Three-Minute Thesis 3MT® Presentation,OhioUPhysics,https://www.youtube.com/watch?v=D_1MK3Ub9QM
The Whirlwind of Adolescence and Depression | 3 Minute Thesis | Niamh MacSweeney,Niamh MacSweeney,https://www.youtube.com/watch?v=gnlJ1gT-UeA
Maria Caluianu - 2022 UCL Three Minute Thesis Winner,Maria Caluianu,https://www.youtube.com/watch?v=DE9x4rX5qmM
Stanford's Inaugural 3MT Competition | 3 Minute Thesis 2025,Stanford VPGE,https://www.youtube.com/watch?v=SRh4tFxHdBA
"3 Minute Thesis (3MT) at Stanford University, 2025 | Tamri Matiashvili, 2nd Place Winner",Tamri Matiashvili,https://www.youtube.com/watch?v=c8GEpWd3g_8
2013 Three Minute Thesis Winner - Sharon Savage,Sharon Savage,https://www.youtube.com/watch?v=QfrUCg1S7vk
How to do a Three Minute Thesis (3MT) or Famelab | Don't make these mistakes!,stemventurist,https://www.youtube.com/watch?v=Pv_6TNLO0ik
2016 winner Maddie Long's Three Minute Thesis - Language and the Brain: The Skye’s the Limit,The University of Edinburgh,https://www.youtube.com/watch?v=lraTf8UPcUY
Deepanjali Mishra - 2025 Three Minute Thesis (3MT) Championship Presentation at CMU,Deepanjali Mishra,https://www.youtube.com/watch?v=gcvw73wtG5g
